Purchase Date,ProductID,CustomerCode,Order ID,Units Sold,Revenue,Cost of Goods Sold
22/11/2021,3,RSmith,0-556-36258-6,508,8776,4688
5/02/2021,9,BAguilar,1-321-69077-0,401,7003,3968
3/04/2022,3,PWilkins,0-457-26457-8,327,8185,4742
22/06/2021,4,TAustin,1-05-841565-4,133,9653,6423
12/09/2022,5,TMaddox,0-557-24510-9,946,2759,4596
12/05/2022,6,ORogers,1-73132-647-5,169,5985,4814
19/09/2021,3,MTaylor,0-03-268444-4,326,3016,2327
8/01/2023,2,CMartin,0-86879-026-5,956,3713,7868
6/02/2020,4,TWatson,0-11-596478-9,985,2206,6030
24/12/2021,4,DCastillo,0-7624-9703-3,332,4437,6831
26/12/2022,10,KEscobar,1-86327-476-6,498,4164,1225
29/07/2022,6,DWatson,1-80886-887-0,631,6706,6259
17/04/2022,1,KRuiz,0-522-18719-6,202,9186,502
18/10/2021,1,HRiddle,1-82054-427-3,724,1641,7494
17/01/2020,6,AMichael,0-498-79454-7,787,8253,3148
18/05/2021,2,JMejia,1-62690-120-1,775,6141,2417
28/03/2021,8,KHerring,1-215-20342-X,501,7274,7820
29/04/2021,8,AWalter,1-56682-635-7,155,7110,4834
22/03/2021,5,DBrown,0-12-965524-4,354,3230,4312
23/02/2022,7,CCrawford,0-514-55911-X,933,7761,1236
11/12/2021,10,PMitchell,1-106-17195-0,491,7974,2473
3/05/2020,7,NRobertson,1-216-17967-0,215,2717,7000
9/11/2020,10,JMorgan,1-871702-62-3,520,6941,3206
11/04/2023,9,EPetersonJr.,1-363-75974-4,498,7467,7017
17/05/2021,7,SBoyer,1-64357-514-7,952,9972,951
9/01/2023,7,DDuran,0-13-997426-1,233,5037,2341
25/02/2021,1,CCarr,0-655-80326-2,843,2653,2938
12/09/2020,6,MGregory,1-74721-029-3,133,3228,4860
19/08/2022,4,JChristian,0-453-69150-1,213,9492,7473
26/11/2022,7,NBarrett,0-02-425525-4,750,7756,7777
27/02/2020,3,CRobinson,0-410-45380-3,124,8223,6924
14/08/2022,2,CHarrington,0-618-04561-9,604,6421,1349
16/04/2022,3,RCarr,0-8479-8930-5,903,9273,5060
6/12/2022,9,REvans,0-9749669-8-3,280,8268,6951
18/07/2021,5,JJackson,0-525-19900-4,596,6033,5197
9/08/2021,5,ADiaz,1-104-69154-X,327,6236,7499
11/02/2021,4,CPorter,1-55838-385-9,352,7815,6201
31/07/2022,2,MVazquez,1-4766-9292-0,512,9192,7212
15/03/2021,2,CSharp,0-554-89222-7,389,5219,5116
11/10/2022,1,FSnyder,0-05-728325-7,236,9694,6161
15/08/2020,4,NRodriguez,1-03-904087-X,843,1117,3102
11/08/2022,7,BDavis,0-209-01140-8,180,4129,555
8/09/2021,8,SMurrayDVM,0-88777-835-6,203,8102,4575
20/12/2020,10,GChang,0-9847037-3-X,965,7887,5114
25/06/2021,3,RHarris,1-61372-164-1,456,4093,4132
13/01/2022,8,AErickson,0-267-87466-9,241,3438,3152
2/10/2021,4,KHenderson,0-241-27879-1,350,7532,5968
14/04/2021,5,DSmith,0-11-317004-1,762,8407,3888
19/01/2022,2,NSanders,0-7669-0460-1,377,3389,565
7/09/2022,9,TVargas,0-590-89908-2,484,6328,4373
14/02/2022,10,MGeorge,0-03-851179-7,810,7799,5534
25/06/2023,1,MCarter,1-80801-081-7,928,6622,714
22/12/2021,6,AKeller,0-468-70352-7,498,6418,5287
5/06/2020,5,MPadilla,1-994798-21-1,709,4467,2849
7/02/2023,2,AAlvarez,1-9760-3889-8,139,7688,4100
3/01/2022,2,ASanchez,1-272-96033-1,602,3641,537
4/03/2021,1,JWall,0-02-450160-3,434,5875,4328
19/04/2023,10,AHernandez,0-85806-331-X,646,1812,6149
26/01/2022,10,CRoss,0-669-80458-4,801,4792,3578
21/02/2020,8,TTurner,0-480-21182-5,653,5840,5966
12/11/2020,2,RWoods,0-14-000832-2,107,6090,2755
11/11/2021,2,MMartinez,0-927075-47-4,918,8285,1578
21/02/2021,6,MYoung,0-02-438655-3,230,2344,3324
19/10/2022,9,EWhite,1-59824-158-3,174,6328,3968
26/03/2022,1,JHolloway,1-105-22332-9,355,7511,4514
4/04/2022,1,AMcdaniel,0-411-01622-9,190,1337,4339
2/01/2023,8,JFrazier,1-57412-102-2,546,6332,6302
20/07/2021,10,CGolden,0-505-16366-7,342,5658,5925
16/02/2022,4,BOdonnell,1-380-21164-6,190,8886,7542
17/06/2022,8,ARamos,0-240-70274-3,393,8980,1679
16/08/2021,1,CBurke,1-04-930247-8,824,2311,6830
6/11/2020,8,ARios,0-00-355446-5,659,8270,4333
22/10/2021,7,BDavis,1-4797-6241-5,145,2629,2176
23/08/2022,7,EDuncan,1-276-84225-2,322,8649,2356
25/05/2023,7,MCoreyBradleyMD,0-8335-8309-3,125,4785,1484
10/01/2022,6,JRoss,0-7442-0224-8,161,1465,571
23/10/2020,3,MWoodard,0-85667-572-5,371,5928,7530
4/04/2022,3,BMolina,0-560-05784-9,696,6757,6275
11/06/2022,8,ACombs,1-71271-392-2,223,6798,6984
16/09/2022,10,MOlson,0-405-42170-2,303,6675,3011
5/02/2020,6,DMerritt,1-4119-2413-4,787,8319,1816
14/12/2021,1,KHernandez,0-9525380-4-0,293,4418,2514
13/05/2023,6,AMaynard,1-64211-757-9,192,1958,2731
15/12/2020,4,NBowers,1-872305-54-7,730,5633,6228
9/06/2023,4,JSmith,1-186-82879-X,966,5940,1512
7/05/2020,4,SBaker,1-5130-7738-4,998,5329,1244
22/09/2021,9,MLewis,0-06-260553-4,776,8637,5666
28/03/2020,8,VLopez,1-907248-49-8,529,2534,2027
11/04/2023,5,AReid,0-294-65545-X,882,7654,3895
26/07/2020,2,ECarrillo,1-84341-387-6,745,6363,4463
14/03/2020,7,SEvans,0-05-644779-5,273,9128,2157
29/03/2021,4,JRobertson,1-218-17341-6,787,7819,6682
15/09/2022,6,SMorse,0-925455-35-0,884,5856,4214
21/01/2021,9,BMalone,0-17-903052-3,990,1233,3393
20/07/2022,3,TNielsenMD,1-128-97946-2,272,5278,3352
7/09/2022,2,GReese,1-204-56809-X,393,6985,3897
29/01/2020,10,CMeyer,0-10-179794-X,300,9620,7031
25/03/2021,2,DSmall,1-226-60503-6,704,5664,2031
15/06/2021,4,JMarshall,1-72052-892-6,865,9634,2000
3/03/2023,2,CThompson,0-10-799306-6,339,1003,5238
14/12/2020,2,RBrowning,0-425-73334-3,396,1068,4384
10/06/2021,6,GGarcia,1-4283-9276-9,922,1282,6671
28/02/2022,10,DScott,0-10-432686-7,745,7826,2587
29/12/2021,2,SMcguire,1-4215-6145-X,781,2851,5735
8/03/2021,1,SRodriguez,1-55740-646-4,879,8886,4314
28/11/2020,3,APeck,0-511-20466-3,763,8410,5393
22/10/2022,7,JSloan,1-70020-066-6,573,5895,5749
16/07/2020,9,LAtkins,0-15-460142-X,258,8683,2209
27/04/2021,9,VWilson,1-67483-290-7,844,8220,2489
14/12/2020,2,HHughes,1-7346233-9-X,644,5360,7021
13/07/2020,1,ABush,0-336-48474-7,607,5614,6389
8/10/2021,7,VWatson,1-5057-3953-5,446,9273,2096
19/01/2022,9,ARios,1-75297-987-7,464,9054,3656
21/06/2022,8,CPratt,0-9973235-2-3,927,9426,1975
1/11/2020,5,MOlson,1-08-634208-9,724,3829,597
12/05/2023,2,DWashington,0-486-61908-7,240,4007,5613
12/09/2022,7,AAcosta,0-208-34303-2,415,1484,6914
4/01/2021,9,MGibson,0-322-49143-6,384,4503,4274
12/01/2022,2,CHarding,0-03-464467-9,247,4744,4031
20/09/2020,8,KMack,0-698-94509-3,395,4092,7277
31/05/2020,4,GLee,1-129-38900-6,121,4588,5214
2/09/2021,7,SWood,1-933952-11-3,144,2418,4458
31/01/2021,4,JCook,1-56834-211-X,756,8322,500
11/06/2023,5,VKim,0-669-62259-1,691,3491,4371
14/05/2022,9,SGarcia,0-687-57739-X,871,9345,628
17/11/2020,8,GMcmillan,0-233-74314-6,939,6744,7099
3/03/2021,9,JGarcia,0-473-26601-6,954,1372,5899
24/05/2022,1,CMiller,1-282-73060-6,884,4293,2560
7/07/2021,6,MRomero,1-4648-8258-4,348,4226,6637
19/03/2020,6,JGarcia,0-7925-8536-4,787,3603,7305
29/12/2021,3,BRodriguez,1-56561-715-0,126,9228,5416
28/05/2021,9,ASmith,0-572-45908-4,531,2361,3307
25/06/2023,3,AKnight,1-59885-167-5,606,2155,1977
10/04/2020,9,DGreen,0-319-76058-8,808,1920,4141
12/03/2020,2,TEscobar,1-238-85181-9,157,6423,3469
19/01/2023,7,RCherry,0-436-20951-9,656,4127,5908
10/10/2022,8,TReyes,1-183-72539-6,789,9323,1988
10/07/2021,1,TFlowers,0-604-47600-0,582,8638,6232
16/08/2021,7,TSimmons,1-60574-790-4,869,3128,6832
24/10/2022,9,MBowman,1-59163-607-8,928,9971,6024
16/05/2023,7,MGreen,0-905649-48-6,670,9216,1740
18/09/2022,3,CMann,1-883767-95-4,759,4749,5275
22/06/2023,2,MWhitneyMendoza,1-4224-6409-1,663,5002,1578
14/03/2022,8,TDunnDVM,1-9768-0366-7,884,2697,2093
28/06/2021,10,AGeorge,0-389-11733-1,604,2982,7040
7/08/2022,3,NDunn,1-84070-333-4,256,8549,3630
24/03/2021,3,CRichards,0-9968532-5-1,349,1770,7921
25/12/2022,8,LGalvan,1-141-50330-1,887,2826,1833
17/12/2022,2,MSimpson,0-7903-0044-3,526,1865,960
18/09/2021,9,MJohnston,1-64791-147-8,917,5568,2432
3/11/2020,5,ECarter,0-8312-1493-7,531,9467,955
8/09/2022,9,THudson,0-7488-9222-2,437,7476,5387
8/03/2020,7,APierce,0-643-69547-8,822,8501,4365
28/08/2022,9,TQuinn,1-76210-047-9,519,9964,563
3/03/2020,1,LJones,0-8171-1767-9,599,7691,7436
15/05/2023,6,DChaney,1-4519-5391-7,615,7132,512
9/07/2020,6,NMcclure,1-08-565817-1,886,1622,7475
21/05/2023,4,KDavis,1-988341-35-3,559,8543,4523
30/07/2020,4,MHaynes,1-113-69293-6,125,9820,6334
3/07/2023,6,ITaylor,1-4505-2086-3,793,1648,2263
20/07/2023,6,DCarey,0-381-71158-7,623,6493,3772
4/05/2021,5,JKelly,0-351-15583-X,472,2278,1966
4/09/2021,3,JRoberts,1-376-49447-7,752,4377,886
22/07/2020,9,ERodriguez,1-246-77085-7,844,3043,4091
18/01/2023,3,MNunez,1-64491-466-2,954,5717,6702
1/01/2020,7,AVega,1-64131-844-9,803,8185,4820
16/10/2021,4,GSwanson,0-687-31740-1,847,4717,6675
11/08/2021,5,AWilson,1-310-76614-2,682,3520,5409
31/05/2022,3,CPatel,0-699-34349-6,191,1503,7375
13/04/2022,4,JHunter,0-7000-4547-3,622,9929,1406
29/12/2021,2,KWhite,1-893890-78-3,558,2317,1358
5/04/2021,1,SDyer,0-89513-323-7,729,3098,5355
9/12/2022,6,CStewart,1-85224-569-7,977,4504,2239
26/10/2021,3,BSolis,0-663-73767-2,667,8400,7921
13/09/2022,1,AHoward,0-7787-2479-4,847,3070,7994
27/05/2023,8,DAyala,1-389-19596-1,832,4511,4993
28/01/2021,1,MGrant,1-940936-47-0,724,1183,3645
13/08/2020,9,TMoore,1-323-80304-1,803,5246,4545
20/02/2023,1,DLong,1-84284-397-4,794,3768,960
31/05/2023,10,SShelton,1-105-86362-X,528,6097,3690
5/02/2020,1,RPhillips,1-884293-36-0,931,7940,3476
18/01/2022,7,HCurtis,0-86432-591-6,314,4248,2938
29/10/2020,3,VThomas,1-74292-140-X,689,5736,4273
25/04/2021,3,MCantu,0-06-396297-7,471,2205,5946
11/08/2021,7,VBaldwin,1-02-597060-8,961,8296,3145
26/05/2022,10,MIngram,1-397-01774-0,525,5599,2295
28/12/2022,7,ACraig,0-470-08618-1,300,1225,994
18/06/2021,6,LWilliams,1-254-12535-3,740,9563,5464
8/10/2020,3,LGamble,1-946747-45-9,364,1771,6188
12/03/2020,6,SCooley,0-665-70739-8,587,3147,6627
27/08/2021,6,LMorton,1-7388908-9-9,804,1950,1477
24/09/2020,3,PCarey,0-230-28128-1,514,9580,7064
17/01/2023,2,JWeaver,0-7071-1116-1,439,1448,3825
17/07/2023,2,SEverett,1-58223-847-2,549,7292,4480
1/01/2020,6,MBurns,1-81928-603-7,711,9881,6977
26/04/2022,1,MReilly,1-05-106999-8,396,6227,3362
28/06/2022,5,KRocha,1-266-56816-6,293,6573,4587
2/06/2021,2,MSaunders,0-411-16481-3,393,2783,7206
13/02/2020,7,JRichardson,1-00-272570-4,780,8330,3762
27/11/2021,4,AJones,0-10-103067-3,873,5589,2339
20/06/2022,8,ARich,0-7098-7815-X,124,3834,5141
13/04/2020,10,MFreeman,0-389-35614-X,100,2125,5115
7/05/2023,1,SRollins,0-01-059295-4,177,1699,7529
8/11/2020,2,MFox,0-13-419131-5,459,3850,1924
19/04/2021,6,JNelson,0-557-14843-X,639,3894,1529
22/08/2022,4,DWheeler,0-680-57029-2,198,4080,3202
28/10/2021,1,MYork,1-55883-534-2,231,1279,2428
2/04/2020,9,PKhan,1-64578-791-5,544,6815,5701
26/01/2021,2,ASmith,0-467-82195-X,188,3603,6056
10/06/2021,6,DMckinney,1-908543-76-0,988,6956,5496
5/04/2021,1,RBrown,0-214-13580-2,290,5495,1084
29/05/2020,8,BOrtega,0-08-577477-4,885,5800,7004
31/03/2023,4,NKelly,1-882166-74-4,451,9593,3744
3/02/2021,10,JWilliams,1-68776-451-4,697,4586,3616
9/08/2020,2,LSheppard,0-376-33664-1,262,9490,6108
26/05/2023,9,CKim,0-610-62098-3,495,9216,6696
28/01/2023,3,JHenson,1-70969-524-2,467,8894,1256
12/11/2020,10,JScott,1-361-76948-3,891,2921,2465
20/07/2020,5,DHudson,0-581-67350-6,561,7618,7831
28/05/2023,2,DMorales,1-314-44741-6,550,1318,7732
24/01/2023,6,SMartinezDDS,0-313-40934-X,878,3541,4766
21/11/2022,6,MParks,1-943018-27-8,368,8658,3356
11/06/2020,9,TRodriguez,0-01-357538-4,382,1745,4368
24/07/2021,8,JKing,0-244-01818-9,124,9110,5154
30/12/2020,8,JSullivan,0-413-35305-2,168,8141,5647
13/04/2020,8,SWare,1-76860-411-8,776,9607,4855
5/05/2023,8,MWhite,0-901654-76-0,477,8022,4177
18/04/2023,1,JMorris,0-249-90589-2,299,1181,2358
24/07/2022,10,SHarris,0-9832782-6-1,666,3586,3756
20/04/2021,2,KThompson,0-433-55659-5,709,5747,6953
21/03/2020,9,GWarren,0-476-41347-8,971,7819,3769
12/08/2022,8,BMcguire,1-275-32564-5,766,1222,714
17/07/2023,6,KStewart,0-87852-121-6,376,9909,4541
13/08/2021,10,MKing,0-89511-368-6,172,9343,7389
19/09/2021,4,CRamirez,1-86393-831-1,196,4333,5107
28/12/2022,5,SVargas,1-71575-752-1,494,3287,7732
22/12/2022,3,KJohnson,1-4809-8527-9,712,9875,6465
21/08/2022,3,BMyers,1-137-01690-6,168,3940,2025
7/04/2023,4,DJenniferWare,1-259-27760-7,788,3778,1461
11/04/2022,2,MNguyen,1-84142-259-2,858,8174,3306
14/05/2020,1,BHampton,1-171-08234-7,679,7507,4475
23/12/2020,6,BDavis,1-66469-470-6,957,2732,6509
14/09/2020,9,ASerrano,1-263-66159-9,548,5386,4364
25/12/2021,8,NWood,0-8187-0286-9,623,1435,3727
30/09/2022,5,JDavis,1-5426-0288-2,544,4531,6611
19/08/2020,4,CRobinson,1-100-72558-X,561,8022,2821
18/08/2020,8,GWatson,1-61177-622-8,869,5643,3799
6/10/2020,4,MBennett,1-59240-615-7,493,7412,5451
22/04/2020,6,RSawyer,1-348-42021-9,749,3455,7627
12/03/2021,4,PBenjamin,0-678-28273-0,613,2287,3178
13/01/2021,1,JLarson,1-169-84888-5,399,4785,1321
18/05/2021,5,VRodgers,0-610-35987-8,333,6975,2418
24/04/2023,2,SHumphrey,1-279-62833-2,344,1153,4895
26/03/2022,7,NPhillips,1-4641-7542-X,547,4210,3235
2/02/2021,1,TLee,0-04-770456-X,305,9194,2022
16/11/2022,3,HTaylor,0-7618-4894-0,326,8160,6715
24/08/2022,3,DJones,0-271-41594-0,199,7347,773
9/10/2022,7,ALe,1-192-77370-5,375,3679,2675
24/11/2021,8,MGillespie,0-16-850417-0,473,3006,2140
11/12/2022,2,BBriggs,0-19-191651-X,590,9098,5263
21/03/2020,5,JTurner,0-503-83869-1,466,4398,2045
30/10/2020,4,AHorn,1-897060-61-0,744,1595,6426
1/06/2020,6,DWelch,0-9683980-1-4,395,9873,5985
14/05/2023,2,EMiller,1-84961-527-6,804,3689,7231
5/07/2023,10,EPatrick,0-9757910-7-9,825,6528,6973
25/02/2022,4,DJackson,1-01-340195-6,946,7172,4997
14/03/2021,6,KPoole,0-19-540564-1,961,1000,1821
27/08/2020,4,APeters,1-110-98019-1,587,4952,1305
4/06/2023,2,BKelly,1-4321-9581-6,303,8817,7096
17/01/2020,5,KDavis,0-04-409359-4,777,8536,6899
27/11/2021,5,LHill,0-343-48249-5,169,7619,5712
6/04/2021,1,LWallace,1-01-178235-9,339,1786,7905
6/01/2022,10,DSmith,0-398-17422-9,413,2576,3338
1/11/2021,10,JBailey,0-9601099-9-4,774,5228,6072
15/07/2021,7,JHorn,0-926662-74-0,488,9115,4424
17/06/2023,5,ACrawford,0-358-15827-3,679,9864,4571
13/07/2021,9,JHuff,0-7337-3234-8,416,3887,2665
30/08/2021,10,MClark,1-61252-189-4,211,8935,3905
28/06/2021,5,JHuber,0-07-723361-1,960,8019,3044
30/12/2022,3,ECortez,0-355-44683-9,849,8098,1523
12/11/2021,4,BHuerta,1-58509-371-8,179,6278,2513
12/05/2022,8,NPrice,0-630-56479-5,305,4674,7122
13/03/2022,7,JObrien,0-452-51106-2,285,3294,5013
17/04/2020,7,JSmith,1-5340-3546-X,363,9398,7621
9/08/2020,3,EFranco,0-7730-1781-X,287,4356,1733
23/01/2023,10,ADavis,1-333-88889-9,861,2005,6655
4/05/2021,9,JDaniels,0-254-76257-3,225,6234,2621
23/08/2020,9,CJacobson,0-273-43701-1,609,3357,4443
5/08/2022,2,ENunez,1-5058-7569-2,822,2260,7429
16/02/2020,6,PEdwards,0-19-856720-0,987,8177,7189
2/10/2022,5,BHardin,0-7878-3984-1,827,5534,5434
27/11/2021,3,JWashington,1-4386-9412-1,559,3264,7566
20/11/2022,7,CNguyen,0-627-55495-4,666,9314,1631
8/01/2022,2,TThompson,1-185-24063-2,305,2189,4574
1/11/2022,8,CMartinez,1-5248-6509-5,492,4978,7549
14/01/2020,10,KBarnes,0-8027-5916-5,766,3101,5765
21/04/2020,3,BDominguez,1-68605-836-5,831,6693,6364
20/09/2020,4,WChapman,0-656-48807-7,955,7314,6525
8/05/2021,3,DHerman,1-68860-176-7,142,2771,6056
3/11/2022,7,BBurns,1-57977-214-5,104,8432,7284
19/05/2020,9,SPalmer,0-274-88413-5,516,3115,1211
26/11/2022,10,AAyala,1-67386-616-6,724,1608,7624
21/02/2020,10,AWyatt,0-357-54303-3,572,7016,7683
21/09/2021,5,DGraham,0-17-863528-6,727,2353,4155
30/01/2022,4,HHiggins,0-06-300739-8,705,2812,5079
10/08/2022,3,NValdez,1-56973-060-1,721,7567,2428
12/09/2020,1,AStein,0-296-97308-4,291,9348,4795
31/03/2020,8,MBell,0-452-74245-5,603,9819,2913
4/05/2020,9,GChen,0-610-05662-X,638,7262,6517
2/03/2022,1,RSpencer,0-521-13258-4,408,3375,2250
21/09/2022,9,EDavis,0-19-314442-5,225,1906,4751
6/01/2023,8,SSalinas,1-4685-0666-8,254,6070,4929
12/07/2020,3,FMiller,0-85344-561-3,214,6522,2088
28/03/2021,8,JDavenport,1-61437-529-1,183,7139,7182
30/12/2020,10,MJoannaFranklin,1-159-19756-3,800,3668,7639
24/03/2020,7,ESmith,0-614-22776-3,592,5174,7747
16/08/2021,7,HCollins,0-604-92483-6,887,8813,7461
7/07/2021,8,JHopkins,0-15-460890-4,370,8158,6370
20/10/2020,6,DRussell,0-04-098817-1,728,9887,4609
28/11/2022,1,MAngelaClark,1-173-00835-7,425,3639,1992
5/05/2022,7,RBoyd,0-947093-69-9,996,1940,4504
6/06/2021,9,LDennis,0-14-282995-1,948,2221,6516
23/11/2021,6,CBowen,1-4359-9374-8,304,7234,4326
30/09/2022,10,CSimon,0-88883-222-2,674,3296,3031
18/01/2021,3,KZamora,0-935128-81-6,717,4854,3157
13/12/2022,8,KVincent,1-310-91888-0,943,3101,2500
13/06/2023,6,SEvans,0-7156-1395-2,981,6072,7338
28/08/2020,10,TShortMD,1-184-02357-3,866,4159,1119
27/02/2021,9,SFrederick,0-14-357941-X,811,5482,6613
9/10/2020,6,JSerrano,1-76147-116-3,231,2646,2115
10/03/2021,2,EJones,1-123-83011-8,885,4277,3490
13/03/2022,9,BWright,1-219-89256-4,299,2834,1383
8/01/2021,10,TGonzalez,1-00-596885-3,284,8408,4749
26/06/2023,4,ESalazar,1-139-84035-5,677,5966,3095
2/07/2021,2,HRojas,0-468-64563-2,103,3264,6328
15/06/2020,3,AGreen,0-496-74840-8,101,9757,6076
25/01/2020,3,ANelson,0-634-30100-4,671,2832,6103
9/01/2023,5,JFernandez,0-7807-3142-5,705,4652,7891
19/05/2021,5,ESanchez,0-11-794977-9,287,4431,6096
11/04/2020,9,JDavis,0-902836-31-5,392,1984,974
16/02/2023,7,CGonzalez,0-267-65849-4,607,5956,7396
7/07/2023,1,CSanchez,1-62666-697-0,922,7000,6937
13/07/2023,2,DBates,0-597-19584-6,606,9425,6903
26/12/2020,4,MLambert,1-5138-5980-3,598,3762,1800
9/05/2022,5,LStone,0-9865654-0-7,316,3998,3926
19/02/2021,2,JPatton,0-580-51770-5,661,5764,4322
7/07/2020,6,AHarrisDVM,0-441-71766-7,751,8578,1510
19/05/2023,9,CRusso,0-205-05713-6,301,5700,2693
6/02/2020,3,CDecker,1-00-954796-8,120,8876,3197
9/06/2023,5,JBates,0-690-79255-7,625,8888,7708
10/02/2023,3,ABurns,1-385-57659-6,480,9885,5188
30/01/2023,6,DGonzalez,0-215-86931-1,338,3162,4247
24/06/2022,3,AWilson,0-17-020006-X,737,8868,7287
11/03/2020,2,SWilliams,1-4104-6604-3,417,5887,1263
22/11/2021,8,AJenkins,0-335-36691-0,828,7140,3769
19/06/2023,1,BLewis,1-148-89018-1,937,3992,7232
14/08/2021,9,AHuff,0-7932-1570-6,479,5283,1801
11/01/2022,5,EJarvis,1-216-71576-9,985,4844,2791
10/08/2022,7,ASilva,1-287-54863-6,971,6523,1069
18/07/2022,7,GMalone,1-910335-75-4,591,4476,924
29/06/2023,3,MDuffy,0-370-23851-6,645,4040,2430
15/05/2023,7,EPeterson,1-295-07764-7,543,3523,6805
11/01/2021,9,JHawkins,0-7327-7026-2,776,4493,2909
28/01/2023,3,ANewton,0-218-54062-0,803,5047,1267
3/06/2022,8,ARich,1-224-48971-3,159,7235,5007
25/01/2022,4,JEdwards,0-08-544581-9,144,1613,5174
13/12/2020,7,TPerez,0-532-52033-5,768,2036,6189
7/10/2022,7,RMoreno,0-212-72885-7,177,1151,6701
7/10/2020,6,RFrazier,1-07-784821-8,712,8285,3173
18/01/2020,4,NHuerta,1-167-53615-0,685,8450,889
28/08/2020,9,AHernandez,1-9991798-7-0,247,6898,4544
10/07/2021,4,COchoa,0-8318-1457-8,466,5382,3152
7/05/2021,7,ADavis,0-88934-749-2,221,6768,6951
19/03/2021,6,MJohnson,1-86839-148-5,885,2165,7529
13/07/2023,1,BRoberts,1-4276-1860-7,763,1199,953
24/08/2022,5,KLin,0-585-32719-X,335,4459,6307
19/12/2020,8,CHahn,0-485-28323-9,444,6433,2515
19/06/2022,4,SCarter,1-287-78204-3,641,7896,3719
19/10/2021,5,LPatel,0-567-29941-4,846,8055,7913
5/08/2021,10,DGonzalez,0-668-95437-X,873,2625,4331
6/06/2023,1,CLyons,1-101-85130-9,638,1286,1556
24/10/2021,5,AJackson,0-7863-7454-3,221,4198,1081
11/02/2021,8,LBarnes,1-229-91663-6,616,9508,2225
13/07/2021,7,EThomas,0-599-51134-6,509,7681,720
23/02/2022,10,WMurray,1-4307-8323-0,630,6140,7998
6/05/2020,5,JTanner,0-246-49109-4,289,1673,5227
7/02/2023,3,NStewart,0-9532270-6-5,307,2115,5115
13/11/2021,2,JZuniga,0-683-37975-5,656,7348,4902
10/07/2023,9,AMitchell,1-02-713018-6,340,7100,2100
25/12/2021,8,TAdams,0-13-723107-5,443,7189,7396
19/12/2022,2,BWhite,0-420-35182-5,543,9130,4855
12/11/2022,4,LGarcia,0-596-66465-6,342,5004,6617
19/01/2023,6,ELee,0-464-09787-8,906,2288,2275
10/01/2022,1,SJohnson,0-7538-9166-2,636,6001,6123
30/10/2020,9,JWilliams,0-473-71225-3,603,4837,6935
25/01/2021,10,DArroyo,1-125-06116-2,250,2469,4404
13/02/2022,4,MThompson,0-455-66112-X,258,8827,6438
23/01/2022,7,JParker,0-679-16461-8,835,8651,1776
16/01/2023,7,VWalker,0-7257-9843-2,224,5948,4939
20/12/2020,5,RBrown,0-539-68370-1,649,1178,3184
26/11/2022,9,BRoberson,1-74353-043-9,527,2482,807
24/05/2020,9,MSmith,0-435-89399-8,422,6772,4043
2/06/2021,2,CSpencer,1-06-696217-0,576,5355,4288
6/02/2020,7,CHarris,0-234-18789-1,459,6834,5673
6/06/2023,9,DSmith,1-76895-199-3,759,9097,8000
26/12/2020,8,EAnthony,0-320-98833-3,884,1247,2282
10/04/2023,7,ANichols,1-63942-365-6,431,3662,2739
20/05/2023,6,KRobinson,1-07-620660-3,178,9259,3200
30/04/2023,4,SGarcia,1-5082-3697-6,151,8026,6457
22/03/2022,3,CCalderon,0-618-71770-6,314,2680,6352
22/09/2020,7,TArmstrong,1-265-21897-8,742,6928,7557
15/06/2021,9,LCannon,1-03-680014-8,756,9141,2854
4/06/2021,1,ABender,0-657-74292-9,961,7592,5739
29/10/2020,2,DSpears,0-03-559356-3,721,3120,5787
16/03/2022,3,JJohnson,0-569-82113-4,882,4815,7961
22/10/2021,8,HGraves,1-82152-286-9,835,8878,807
12/02/2022,4,DPratt,0-19-440336-X,566,2165,2389
18/11/2020,5,CWalton,0-9614916-1-2,243,9286,3908
9/11/2021,10,LGarcia,0-370-15824-5,934,4957,7373
20/05/2023,4,JProctor,1-204-80742-6,643,8151,2787
8/03/2020,5,JMeyers,0-7662-7009-2,692,5458,2974
16/09/2021,4,KRoberts,0-343-21036-3,211,6624,7654
3/03/2023,10,CTerry,0-646-06794-X,745,2631,7660
8/08/2020,7,BSalinas,1-132-38736-1,703,5615,3419
20/10/2020,4,ELyonsDVM,1-168-63547-0,622,3142,1290
25/04/2023,6,DWolf,0-14-849402-1,694,9743,7851
20/05/2023,3,JLarson,0-273-68532-5,875,4802,7531
13/04/2023,4,AWilliams,1-4036-1388-5,131,4637,4988
6/12/2020,10,RSimpson,0-9989476-3-6,385,2455,6664
14/10/2020,3,LCollins,1-4953-1105-8,811,4801,1187
21/12/2020,2,LClark,0-203-32077-8,862,7617,5772
14/01/2021,5,JParker,0-12-320175-6,431,4411,1294
2/11/2020,8,EAdams,1-243-73034-X,430,4174,3461
12/05/2021,8,DClarke,0-9794910-4-5,893,5177,1806
15/01/2020,5,RWilliams,0-202-75825-7,997,7004,1067
28/04/2023,8,JCherry,0-7202-6203-8,750,9482,7994
3/10/2021,7,JRoss,0-14-866582-9,117,4876,4828
18/06/2022,6,CLindsey,0-11-469855-4,540,6594,2608
15/05/2020,9,LCox,0-659-95808-2,291,3168,7708
2/02/2021,10,MSolis,1-323-96934-9,757,5737,1327
23/03/2021,10,CStewart,1-66599-352-9,445,6762,3379
11/10/2021,9,MLindsey,0-7093-6613-2,183,6715,7414
